 "topic_label" , "lecture" , "lab" , "fromoutline" , "fromlecture" , "fromlab" , "uri" ,
 "World_Wide_Web_Consortium_(W3C)" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/World_Wide_Web_Consortium" ,
 "idf" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/worksheet05.pdf" ,  , "http://dbpedia.org/resource/Israel_Defense_Forces" ,
 "data_structure" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Data_structure" ,
 "SPARQL" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/SPARQL" ,
 "RDF" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Resource_Description_Framework" ,
 "HTTP" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Hypertext_Transfer_Protocol" ,
 "specification" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Specification_language" ,
 "specification" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Formal_specification" ,
 "specification" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/File_format" ,
 "specification" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/List_of_Air_Ministry_specifications" ,
 "RDFa" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/RDFa" ,
 "Linked_Data" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Linked_data" ,
 "Tim_Berners-Lee" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Tim_Berners-Lee" ,
 "URI" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Uniform_Resource_Identifier" ,
 "O'Reilly_Media" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/O'Reilly_Media" ,
 "silo" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Silo" ,
 "Springer" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Springer_Publishing" ,
 "microdata" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Microdata_(statistics)" ,
 "Layer_Cake" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Layer_cake" ,
 "RT" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Windows_RT" ,
 "qi" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/worksheet05.pdf" ,  , "http://dbpedia.org/resource/Qi" ,
 "dot_product" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/worksheet05.pdf" ,  , "http://dbpedia.org/resource/Dot_product" ,
 "Ontology" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Ontology" ,
 "MusicBrainz" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/MusicBrainz" ,
 "Flickr" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Flickr" ,
 "Linked_Open_Data" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Linked_data" ,
 "Luke" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Luke_the_Evangelist" ,
 "Luke" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Gospel_of_Luke" ,
 "Knowledge_Graph" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Knowledge_Graph" ,
 "international" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/International_law" ,
 "international" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/International" ,
 "Freebase" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Freebase" ,
 "rdfs" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/RDF_Schema" ,
 "Facebook" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Facebook" ,
 "Sebastian" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Saint_Sebastian" ,
 "Data_integration" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Data_integration" ,
 "W3C" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/World_Wide_Web_Consortium" ,
 "Canada" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Canada" ,
 "Google" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Google" ,
 "protip" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/worksheet05.pdf" ,  , "http://dbpedia.org/resource/GamePro" ,
 "Concordia University" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Concordia_University" ,
 "Concordia_University" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Concordia_University" ,
 "Heidelberg" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Heidelberg" ,
 "SQL" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/SQL" ,
 "Amsterdam" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Amsterdam" ,
 "DBpedia" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/DBpedia" ,
 "CSV" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Comma-separated_values" ,
 "wgs84" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/World_Geodetic_System" ,
 "Reading" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Reading_F.C." ,
 "Reading" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Reading_Company" ,
 "Christian" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Christian" ,
 "Christian" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Christianity" ,
 "Arity" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Arity" ,
 "foaf" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/FOAF_(ontology)" ,
 "graph" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Graph_database" ,
 "graph" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Chart" ,
 "graph" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Graphics" ,
 "graph" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Graph_theory" ,
 "James" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Epistle_of_James" ,
